time (ps),Lx,Ly,Lz
1.168,13.97548841,17.71655318,14.73648729
1.17,13.97421674,17.71580961,14.73610152
1.172,13.97288605,17.71476009,14.73559915
1.174,13.97136649,17.71404686,14.7353112
1.176,13.96975235,17.71318159,14.7352688
1.178,13.96805407,17.7122501,14.73532203
1.18,13.96663347,17.7111912,14.73547075
1.182,13.96480904,17.71018768,14.73589358
1.184,13.96299143,17.70913367,14.73653749
1.186,13.96115192,17.70809646,14.73734963
1.188,13.95920459,17.70687254,14.73825016
1.19,13.95706922,17.70566332,14.73923066
1.192,13.95514744,17.70454005,14.74029448
1.194,13.9530108,17.70320001,14.74120586
1.196,13.95078498,17.70187129,14.74248313
1.198,13.94884558,17.70049353,14.74418571
1.2,13.94672084,17.69914524,14.7460827
1.202,13.94443973,17.69723018,14.74781523
1.204,13.94209305,17.69537496,14.74968994
1.206,13.94011869,17.69349446,14.75163868
1.208,13.93805062,17.69165451,14.75373661
1.21,13.93630423,17.6896157,14.75594344
1.212,13.9347169,17.68784626,14.75813466
1.214,13.93296137,17.68601598,14.75995176
1.216,13.9314947,17.68463074,14.7618703
1.218,13.92999787,17.68349156,14.76368435
1.22,13.92847301,17.68267804,14.7651619
1.222,13.92721851,17.68209021,14.76645707
1.224,13.92621797,17.68154845,14.76792964
1.226,13.92516814,17.6807378,14.76911556
1.228,13.92443649,17.6801535,14.77042025
1.23,13.92399926,17.67960062,14.77185723
1.232,13.92403494,17.67901027,14.77362473
1.234,13.92423023,17.67867462,14.77553263
1.236,13.92429122,17.67849597,14.77686985
1.238,13.92469468,17.67867372,14.77798876
1.24,13.92540222,17.67890685,14.77902476
1.242,13.9260845,17.67907337,14.77990708
1.244,13.92678278,17.67913311,14.7806728
1.246,13.92770632,17.67932713,14.78129226
1.248,13.92872758,17.67965104,14.78175005
1.25,13.92982584,17.67952186,14.78188889
1.252,13.93075628,17.67905283,14.78208086
1.254,13.93169212,17.67872981,14.78232656
1.256,13.93258669,17.67829796,14.78286836
1.258,13.93346789,17.67780779,14.78341033
1.26,13.93442848,17.67747851,14.78390861
1.262,13.93530923,17.67718063,14.78433356
1.264,13.93641314,17.67711443,14.78491369
1.266,13.93707073,17.67700636,14.78526515
